1185,PG0134,2017-09-10 09:50:00+03,2017-09-10 14:55:00+03,DME,BTK,Scheduled,319,null,null  
3979,PG0052,2017-08-25 14:50:00+03,2017-08-25 17:35:00+03,VKO,HMA,Scheduled,CR2,null,null  
4739,PG0561,2017-09-05 12:30:00+03,2017-09-05 14:15:00+03,VKO,AER,Scheduled,763,null,null  
5502,PG0529,2017-09-12 09:50:00+03,2017-09-12 11:20:00+03,SVO,UFA,Scheduled,763,null,null  
6938,PG0461,2017-09-04 12:25:00+03,2017-09-04 13:20:00+03,SVO,ULV,Scheduled,SU9,null,null  
7784,PG0667,2017-09-10 15:00:00+03,2017-09-10 17:30:00+03,SVO,KRO,Scheduled,CR2,null,null  
9478,PG0360,2017-08-28 09:00:00+03,2017-08-28 11:35:00+03,LED,REN,Scheduled,CR2,null,null  
11085,PG0569,2017-08-24 15:05:00+03,2017-08-24 16:10:00+03,SVX,SCW,Scheduled,733,null,null  
11847,PG0498,2017-09-12 10:15:00+03,2017-09-12 14:55:00+03,KZN,IKT,Scheduled,319,null,null  
12012,PG0621,2017-08-26 16:05:00+03,2017-08-26 17:00:00+03,KZN,MQF,Scheduled,CR2,null,null  
13113,PG0612,2017-08-18 16:25:00+03,2017-08-18 20:05:00+03,ROV,KZN,Scheduled,CN1,null,null  
14806,PG0676,2017-09-06 07:05:00+03,2017-09-06 07:45:00+03,PEE,CEK,Scheduled,CR2,null,null  
16837,PG0010,2017-09-05 12:25:00+03,2017-09-05 14:35:00+03,JOK,VKO,Scheduled,CN1,null,null  
17173,PG0059,2017-09-14 12:25:00+03,2017-09-14 14:45:00+03,SCW,NBC,Cancelled,CN1,null,null  
19807,PG0035,2017-09-11 06:35:00+03,2017-09-11 09:25:00+03,MJZ,CNN,Scheduled,CN1,null,null  
23609,PG0648,2017-08-31 11:35:00+03,2017-08-31 13:00:00+03,UUA,SVO,Scheduled,CR2,null,null  
23695,PG0388,2017-08-26 10:55:00+03,2017-08-26 11:25:00+03,UUA,REN,Scheduled,CR2,null,null  
23780,PG0098,2017-09-02 06:50:00+03,2017-09-02 10:30:00+03,SWT,CEK,Scheduled,CN1,null,null  
23945,PG0076,2017-09-05 09:15:00+03,2017-09-05 11:50:00+03,EYK,DME,Scheduled,CR2,null,null  
24705,PG0632,2017-08-26 15:00:00+03,2017-08-26 17:35:00+03,TJM,PES,Scheduled,CR2,null,null  
25382,PG0556,2017-08-31 09:05:00+03,2017-08-31 10:55:00+03,IKT,MJZ,Scheduled,CR2,null,null  
26057,PG0467,2017-08-26 15:45:00+03,2017-08-26 17:00:00+03,ULY,RTW,Scheduled,CN1,null,null  
27580,PG0483,2017-09-12 07:20:00+03,2017-09-12 11:20:00+03,KEJ,DME,Scheduled,SU9,null,null  
29272,PG0334,2017-09-05 16:20:00+03,2017-09-05 19:05:00+03,KGD,ESL,Scheduled,CR2,null,null  
29440,PG0065,2017-09-02 12:15:00+03,2017-09-02 18:05:00+03,UUD,VKO,Scheduled,319,null,null  
32658,PG0674,2017-08-19 09:35:00+03,2017-08-19 12:00:00+03,KRO,KJA,Scheduled,CR2,null,null  
1,PG0405,2017-07-16 09:35:00+03,2017-07-16 10:30:00+03,DME,LED,Arrived,321,2017-07-16 09:44:00+03,2017-07-16 10:39:00+03
2,PG0404,2017-08-05 19:05:00+03,2017-08-05 20:00:00+03,DME,LED,Arrived,321,2017-08-05 19:06:00+03,2017-08-05 20:01:00+03
3,PG0405,2017-08-05 09:35:00+03,2017-08-05 10:30:00+03,DME,LED,Arrived,321,2017-08-05 09:39:00+03,2017-08-05 10:34:00+03
4,PG0402,2017-09-09 12:25:00+03,2017-09-09 13:20:00+03,DME,LED,Scheduled,321,null,null  
5,PG0405,2017-08-16 09:35:00+03,2017-08-16 10:30:00+03,DME,LED,On Time,321,null,null  
6,PG0404,2017-08-16 19:05:00+03,2017-08-16 20:00:00+03,DME,LED,Scheduled,321,null,null  
7,PG0403,2017-08-16 11:25:00+03,2017-08-16 12:20:00+03,DME,LED,Delayed,321,null,null  
8,PG0402,2017-08-16 12:25:00+03,2017-08-16 13:20:00+03,DME,LED,On Time,321,null,null  
9,PG0405,2017-08-25 09:35:00+03,2017-08-25 10:30:00+03,DME,LED,Scheduled,321,null,null  
10,PG0402,2017-08-23 12:25:00+03,2017-08-23 13:20:00+03,DME,LED,Scheduled,321,null,null  
11,PG0403,2017-08-23 11:25:00+03,2017-08-23 12:20:00+03,DME,LED,Scheduled,321,null,null  
12,PG0404,2017-08-23 19:05:00+03,2017-08-23 20:00:00+03,DME,LED,Scheduled,321,null,null  
13,PG0405,2017-08-23 09:35:00+03,2017-08-23 10:30:00+03,DME,LED,Scheduled,321,null,null  
14,PG0402,2017-08-06 12:25:00+03,2017-08-06 13:20:00+03,DME,LED,Arrived,321,2017-08-06 12:28:00+03,2017-08-06 13:23:00+03
15,PG0402,2017-07-28 12:25:00+03,2017-07-28 13:20:00+03,DME,LED,Arrived,321,2017-07-28 12:31:00+03,2017-07-28 13:26:00+03
16,PG0403,2017-08-06 11:25:00+03,2017-08-06 12:20:00+03,DME,LED,Arrived,321,2017-08-06 11:27:00+03,2017-08-06 12:22:00+03
17,PG0404,2017-08-06 19:05:00+03,2017-08-06 20:00:00+03,DME,LED,Arrived,321,2017-08-06 19:05:00+03,2017-08-06 20:00:00+03
